Title,Details,Image URL,Product URL
Nike Club Alumni,Men's French Terry Shorts,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/b71f8b9d-8b93-4c72-8699-e0a5f8796837/club-alumni-mens-french-terry-shorts-cnGtxR.png",https://www.nike.comhttps://www.nike.com/t/club-alumni-mens-french-terry-shorts-cnGtxR/DX0502-345
Nike Life,Men's Full-Zip Unlined Jacket,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/4e61795d-b9a3-4f39-8b2e-6bd1b1be6466/life-mens-full-zip-unlined-jacket-zG5lfM.png",https://www.nike.comhttps://www.nike.com/t/life-mens-full-zip-unlined-jacket-zG5lfM/FZ6575-014
Nike Life,Men's Camp Shorts,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/9d47ec01-b9cb-466c-97b0-18a0fb4106e1/life-mens-camp-shorts-nKf9Hl.png",https://www.nike.comhttps://www.nike.com/t/life-mens-camp-shorts-nKf9Hl/FN3216-237
Nike ACG,Men's Dri-FIT T-Shirt,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/8c8d9b4a-a0fa-4383-8c47-440893ba21d1/acg-mens-dri-fit-t-shirt-HmzzlZ.png",https://www.nike.comhttps://www.nike.com/t/acg-mens-dri-fit-t-shirt-HmzzlZ/FV3490-338
"Nike ACG ""Reservoir Goat""",Men's Shorts,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/e0cd6749-5374-48a8-b428-d6727807911f/acg-reservoir-goat-mens-shorts-f1VWBN.png",https://www.nike.comhttps://www.nike.com/t/acg-reservoir-goat-mens-shorts-f1VWBN/FN2472-376
Kevin Durant,Men's Dri-FIT Short-Sleeve Basketball Top,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/f79e23b4-bbdb-41c2-af5b-362a90efd465/kevin-durant-mens-dri-fit-short-sleeve-basketball-top-NWbXJm.png",https://www.nike.comhttps://www.nike.com/t/kevin-durant-mens-dri-fit-short-sleeve-basketball-top-NWbXJm/FN3039-133
Kevin Durant,Men's Dri-FIT Standard Issue 7/8-Length Basketball Pants,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/4560919e-6a11-480f-917a-bac68f606110/kevin-durant-mens-dri-fit-standard-issue-7-8-length-basketball-pants-x04ZNm.png",https://www.nike.comhttps://www.nike.com/t/kevin-durant-mens-dri-fit-standard-issue-7-8-length-basketball-pants-x04ZNm/FQ3685-133
Kevin Durant,Men's Dri-FIT Standard Issue Pullover Basketball Hoodie,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/5466097f-e740-4d3b-83ed-8c68fd1559ed/kevin-durant-mens-dri-fit-standard-issue-pullover-basketball-hoodie-kWGGWZ.png",https://www.nike.comhttps://www.nike.com/t/kevin-durant-mens-dri-fit-standard-issue-pullover-basketball-hoodie-kWGGWZ/FN7380-010
KD,Men's Dri-FIT Standard Issue Reversible Basketball Shorts,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/465c3e6e-2584-480a-b109-68411ad1dce8/kd-mens-dri-fit-standard-issue-reversible-basketball-shorts-kWqrCX.png",https://www.nike.comhttps://www.nike.com/t/kd-mens-dri-fit-standard-issue-reversible-basketball-shorts-kWqrCX/FN3037-010
Nike Sportswear Club,Men's T-Shirt,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/pkhhzbog65ezgmmh85wv/sportswear-club-mens-t-shirt-ShrJfX.png",https://www.nike.comhttps://www.nike.com/t/sportswear-club-mens-t-shirt-ShrJfX/AR4997-410
Nike Club,Men's Flow Shorts,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/44ae7fca-0b79-4603-b888-f19a0c8dc623/club-mens-flow-shorts-PsQ5w3.png",https://www.nike.comhttps://www.nike.com/t/club-mens-flow-shorts-PsQ5w3/FN3098-410
Nike Club,Men's Chino Shorts,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/06b6cb2d-8033-4046-8b77-1ced0e3c9e62/club-mens-chino-shorts-F28Twg.png",https://www.nike.comhttps://www.nike.com/t/club-mens-chino-shorts-F28Twg/FZ5772-247
Nike Life,Men's Short-Sleeve Seersucker Button-Down Shirt,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/cd22eee8-3760-4514-beab-b87be65e4d30/life-mens-short-sleeve-seersucker-button-down-shirt-wQLZ9g.png",https://www.nike.comhttps://www.nike.com/t/life-mens-short-sleeve-seersucker-button-down-shirt-wQLZ9g/FN3222-060
Sabrina,Fleece Basketball Hoodie,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/4d3a16e3-6a2f-41b3-9457-ab411cf0c502/sabrina-fleece-basketball-hoodie-0Fvm1P.png",https://www.nike.comhttps://www.nike.com/t/sabrina-fleece-basketball-hoodie-0Fvm1P/FV3205-121
Nike Sportswear Club,Men's Graphic Shorts,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/276f1761-fa58-4255-a492-cd573386a245/sportswear-club-mens-graphic-shorts-hQgvng.png",https://www.nike.comhttps://www.nike.com/t/sportswear-club-mens-graphic-shorts-hQgvng/BV2721-010
